originregion_id	originregion_name	destinationregion_id	destinationregion_name	origin_iso	origin_name	destination_iso	destination_name	regionflow_2008	regionflow_2010	regionflow_2012	regionflow_2014	countryflow_2008	countryflow_2010	countryflow_2012	countryflow_2014
12	GÜNEYDOĞU ANADOLU	11	ORTADOĞU ANADOLU	2	Adıyaman	17	Bingöl	11310	13623	19434	19341	27	49	64	104
12	GÜNEYDOĞU ANADOLU	11	ORTADOĞU ANADOLU	2	Adıyaman	18	Bitlis	11310	13623	19434	19341	35	59	82	82
12	GÜNEYDOĞU ANADOLU	4	DOĞU MARMARA	2	Adıyaman	19	Bolu	13408	11253	11952	13484	41	43	38	47
12	GÜNEYDOĞU ANADOLU	6	AKDENİZ	2	Adıyaman	20	Burdur	46113	36947	42588	52428	38	24	24	43
12	GÜNEYDOĞU ANADOLU	4	DOĞU MARMARA	2	Adıyaman	21	Bursa	13408	11253	11952	13484	286	197	295	248
12	GÜNEYDOĞU ANADOLU	2	BATI MARMARA	2	Adıyaman	22	Çanakkale	6423	5559	5610	5747	44	45	46	55
12	GÜNEYDOĞU ANADOLU	8	BATI KARADENİZ	2	Adıyaman	23	Çankırı	4966	4584	5164	6021	47	30	25	60
12	GÜNEYDOĞU ANADOLU	8	BATI KARADENİZ	2	Adıyaman	24	Çorum	4966	4584	5164	6021	109	63	64	59
12	GÜNEYDOĞU ANADOLU	3	EGE	2	Adıyaman	25	Denizli	26299	16867	21155	18403	79	74	74	63
12	GÜNEYDOĞU ANADOLU	12	GÜNEYDOĞU ANADOLU	2	Adıyaman	26	Diyarbakır	46409	44678	49129	52668	206	338	221	497
12	GÜNEYDOĞU ANADOLU	4	DOĞU MARMARA	2	Adıyaman	27	Düzce	13408	11253	11952	13484	30	28	27	48
12	GÜNEYDOĞU ANADOLU	2	BATI MARMARA	2	Adıyaman	28	Edirne	6423	5559	5610	5747	22	30	34	34
12	GÜNEYDOĞU ANADOLU	11	ORTADOĞU ANADOLU	2	Adıyaman	29	Elazığ	11310	13623	19434	19341	188	145	238	341
12	GÜNEYDOĞU ANADOLU	10	KUZEYDOĞU ANADOLU	2	Adıyaman	30	Erzincan	1716	3663	4585	4839	18	125	143	161
12	GÜNEYDOĞU ANADOLU	10	KUZEYDOĞU ANADOLU	2	Adıyaman	31	Erzurum	1716	3663	4585	4839	53	96	128	115
12	GÜNEYDOĞU ANADOLU	4	DOĞU MARMARA	2	Adıyaman	32	Eskişehir	13408	11253	11952	13484	122	117	117	114
12	GÜNEYDOĞU ANADOLU	12	GÜNEYDOĞU ANADOLU	2	Adıyaman	33	Gaziantep	46409	44678	49129	52668	2787	2247	266	2893
12	GÜNEYDOĞU ANADOLU	9	DOĞUKARADENİZ	2	Adıyaman	34	Giresun	2263	2146	2877	3380	50	57	70	74
12	GÜNEYDOĞU ANADOLU	9	DOĞUKARADENİZ	2	Adıyaman	35	Gümüşhane	2263	2146	2877	3380	0	32	55	134
12	GÜNEYDOĞU ANADOLU	11	ORTADOĞU ANADOLU	2	Adıyaman	36	Hakkari	11310	13623	19434	19341	25	55	32	51
12	GÜNEYDOĞU ANADOLU	6	AKDENİZ	2	Adıyaman	37	Hatay	46113	36947	42588	52428	458	318	290	408
12	GÜNEYDOĞU ANADOLU	10	KUZEYDOĞU ANADOLU	2	Adıyaman	38	Iğdır	1716	3663	4585	4839	14	32	36	37
12	GÜNEYDOĞU ANADOLU	6	AKDENİZ	2	Adıyaman	39	Isparta	46113	36947	42588	52428	43	59	58	75
12	GÜNEYDOĞU ANADOLU	1	İSTANBUL	2	Adıyaman	40	İstanbul	50701	45402	47143	38568	5242	4948	6096	5359
12	GÜNEYDOĞU ANADOLU	3	EGE	2	Adıyaman	41	İzmir	26299	16867	21155	18403	411	411	390	346
12	GÜNEYDOĞU ANADOLU	6	AKDENİZ	2	Adıyaman	42	Kahramanmaraş	46113	36947	42588	52428	474	450	607	952
12	GÜNEYDOĞU ANADOLU	8	BATI KARADENİZ	2	Adıyaman	43	Karabük	4966	4584	5164	6021	15	19	40	47
12	GÜNEYDOĞU ANADOLU	5	BATI ANADOLU	2	Adıyaman	44	Karaman	14290	15564	13479	19109	30	25	44	57
12	GÜNEYDOĞU ANADOLU	10	KUZEYDOĞU ANADOLU	2	Adıyaman	45	Kars	1716	3663	4585	4839	26	49	58	80
12	GÜNEYDOĞU ANADOLU	8	BATI KARADENİZ	2	Adıyaman	46	Kastamonu	4966	4584	5164	6021	32	18	39	73
12	GÜNEYDOĞU ANADOLU	7	ORTA ANADOLU	2	Adıyaman	47	Kayseri	5735	6208	6977	8387	173	190	206	216
12	GÜNEYDOĞU ANADOLU	12	GÜNEYDOĞU ANADOLU	2	Adıyaman	48	Kilis	46409	44678	49129	52668	54	57	77	170
12	GÜNEYDOĞU ANADOLU	7	ORTA ANADOLU	2	Adıyaman	49	Kırıkkale	5735	6208	6977	8387	22	18	32	35
12	GÜNEYDOĞU ANADOLU	2	BATI MARMARA	2	Adıyaman	50	Kırklareli	6423	5559	5610	5747	47	62	44	95
12	GÜNEYDOĞU ANADOLU	7	ORTA ANADOLU	2	Adıyaman	51	Kırşehir	5735	6208	6977	8387	33	60	61	74
12	GÜNEYDOĞU ANADOLU	4	DOĞU MARMARA	2	Adıyaman	52	Kocaeli	13408	11253	11952	13484	169	146	148	202
12	GÜNEYDOĞU ANADOLU	5	BATI ANADOLU	2	Adıyaman	53	Konya	14290	15564	13479	19109	225	162	269	302
12	GÜNEYDOĞU ANADOLU	3	EGE	2	Adıyaman	54	Kütahya	26299	16867	21155	18403	72	48	75	60
12	GÜNEYDOĞU ANADOLU	11	ORTADOĞU ANADOLU	2	Adıyaman	55	Malatya	11310	13623	19434	19341	2305	1958	2266	2129
12	GÜNEYDOĞU ANADOLU	3	EGE	2	Adıyaman	56	Manisa	26299	16867	21155	18403	103	141	132	93
12	GÜNEYDOĞU ANADOLU	12	GÜNEYDOĞU ANADOLU	2	Adıyaman	57	Mardin	46409	44678	49129	52668	67	161	92	161
12	GÜNEYDOĞU ANADOLU	6	AKDENİZ	2	Adıyaman	58	Mersin	46113	36947	42588	52428	1255	1275	1027	1169
12	GÜNEYDOĞU ANADOLU	3	EGE	2	Adıyaman	59	Muğla	26299	16867	21155	18403	176	135	174	173
12	GÜNEYDOĞU ANADOLU	11	ORTADOĞU ANADOLU	2	Adıyaman	60	Muş	11310	13623	19434	19341	22	59	58	96
12	GÜNEYDOĞU ANADOLU	7	ORTA ANADOLU	2	Adıyaman	61	Nevşehir	5735	6208	6977	8387	41	40	93	44
12	GÜNEYDOĞU ANADOLU	7	ORTA ANADOLU	2	Adıyaman	62	Niğde	5735	6208	6977	8387	89	80	62	76
12	GÜNEYDOĞU ANADOLU	9	DOĞUKARADENİZ	2	Adıyaman	63	Ordu	2263	2146	2877	3380	75	36	29	61
12	GÜNEYDOĞU ANADOLU	6	AKDENİZ	2	Adıyaman	64	Osmaniye	46113	36947	42588	52428	210	130	156	234
12	GÜNEYDOĞU ANADOLU	9	DOĞUKARADENİZ	2	Adıyaman	65	Rize	2263	2146	2877	3380	26	13	40	28
12	GÜNEYDOĞU ANADOLU	4	DOĞU MARMARA	2	Adıyaman	66	Sakarya	13408	11253	11952	13484	43	66	59	57
12	GÜNEYDOĞU ANADOLU	8	BATI KARADENİZ	2	Adıyaman	67	Samsun	4966	4584	5164	6021	52	110	82	129
12	GÜNEYDOĞU ANADOLU	12	GÜNEYDOĞU ANADOLU	2	Adıyaman	68	Şanlıurfa	46409	44678	49129	52668	527	875	910	1075
12	GÜNEYDOĞU ANADOLU	12	GÜNEYDOĞU ANADOLU	2	Adıyaman	69	Siirt	46409	44678	49129	52668	67	61	76	64
12	GÜNEYDOĞU ANADOLU	8	BATI KARADENİZ	2	Adıyaman	70	Sinop	4966	4584	5164	6021	20	19	25	29
12	GÜNEYDOĞU ANADOLU	12	GÜNEYDOĞU ANADOLU	2	Adıyaman	71	Şırnak	46409	44678	49129	52668	92	128	154	173
12	GÜNEYDOĞU ANADOLU	7	ORTA ANADOLU	2	Adıyaman	72	Sivas	5735	6208	6977	8387	103	140	149	158
12	GÜNEYDOĞU ANADOLU	2	BATI MARMARA	2	Adıyaman	73	Tekirdağ	6423	5559	5610	5747	240	163	188	195
12	GÜNEYDOĞU ANADOLU	8	BATI KARADENİZ	2	Adıyaman	74	Tokat	4966	4584	5164	6021	81	102	148	115
12	GÜNEYDOĞU ANADOLU	9	DOĞUKARADENİZ	2	Adıyaman	75	Trabzon	2263	2146	2877	3380	38	46	67	89
12	GÜNEYDOĞU ANADOLU	11	ORTADOĞU ANADOLU	2	Adıyaman	76	Tunceli	11310	13623	19434	19341	14	52	37	69
12	GÜNEYDOĞU ANADOLU	3	EGE	2	Adıyaman	77	Uşak	26299	16867	21155	18403	66	22	42	64
12	GÜNEYDOĞU ANADOLU	11	ORTADOĞU ANADOLU	2	Adıyaman	78	Van	11310	13623	19434	19341	86	95	129	154
12	GÜNEYDOĞU ANADOLU	4	DOĞU MARMARA	2	Adıyaman	79	Yalova	13408	11253	11952	13484	27	23	22	13
12	GÜNEYDOĞU ANADOLU	7	ORTA ANADOLU	2	Adıyaman	80	Yozgat	5735	6208	6977	8387	61	61	67	88
12	GÜNEYDOĞU ANADOLU	8	BATI KARADENİZ	2	Adıyaman	81	Zonguldak	4966	4584	5164	6021	18	27	45	50
3	EGE	6	AKDENİZ	3	Afyonkarahisar	1	Adana	25427	30601	25803	30019	186	255	163	285
3	EGE	12	GÜNEYDOĞU ANADOLU	3	Afyonkarahisar	2	Adıyaman	12600	16687	12536	14464	75	84	44	74
3	EGE	3	EGE	3	Afyonkarahisar	3	Afyonkarahisar	84344	80897	83908	93770	0	0	0	0
3	EGE	10	KUZEYDOĞU ANADOLU	3	Afyonkarahisar	4	Ağrı	7179	8618	6965	7921	65	120	111	117
3	EGE	7	ORTA ANADOLU	3	Afyonkarahisar	5	Aksaray	8076	8600	7463	8081	110	79	97	95
3	EGE	8	BATI KARADENİZ	3	Afyonkarahisar	6	Amasya	8720	9464	8436	9423	46	50	35	47
3	EGE	5	BATI ANADOLU	3	Afyonkarahisar	7	Ankara	19222	19712	21248	25552	1231	1694	1275	1992
3	EGE	6	AKDENİZ	3	Afyonkarahisar	8	Antalya	25427	30601	25803	30019	2454	2136	2301	2225
3	EGE	10	KUZEYDOĞU ANADOLU	3	Afyonkarahisar	9	Ardahan	7179	8618	6965	7921	26	23	39	22
3	EGE	9	DOĞUKARADENİZ	3	Afyonkarahisar	10	Artvin	4508	5137	5037	6075	12	30	27	51
3	EGE	3	EGE	3	Afyonkarahisar	11	Aydın	84344	80897	83908	93770	640	501	551	788
3	EGE	2	BATI MARMARA	3	Afyonkarahisar	12	Balıkesir	13906	12587	14138	17998	342	299	225	360
3	EGE	8	BATI KARADENİZ	3	Afyonkarahisar	13	Bartın	8720	9464	8436	9423	18	13	38	37
3	EGE	12	GÜNEYDOĞU ANADOLU	3	Afyonkarahisar	14	Batman	12600	16687	12536	14464	59	58	52	66
3	EGE	10	KUZEYDOĞU ANADOLU	3	Afyonkarahisar	15	Bayburt	7179	8618	6965	7921	27	27	23	11
3	EGE	4	DOĞU MARMARA	3	Afyonkarahisar	16	Bilecik	24517	21604	21851	25587	153	122	137	176
3	EGE	11	ORTADOĞU ANADOLU	3	Afyonkarahisar	17	Bingöl	9126	9321	8708	8693	37	58	39	50
3	EGE	11	ORTADOĞU ANADOLU	3	Afyonkarahisar	18	Bitlis	9126	9321	8708	8693	49	61	41	40
3	EGE	4	DOĞU MARMARA	3	Afyonkarahisar	19	Bolu	24517	21604	21851	25587	51	45	54	72
3	EGE	6	AKDENİZ	3	Afyonkarahisar	20	Burdur	25427	30601	25803	30019	283	327	377	398
3	EGE	4	DOĞU MARMARA	3	Afyonkarahisar	21	Bursa	24517	21604	21851	25587	685	667	567	707
3	EGE	2	BATI MARMARA	3	Afyonkarahisar	22	Çanakkale	13906	12587	14138	17998	121	151	114	139
3	EGE	8	BATI KARADENİZ	3	Afyonkarahisar	23	Çankırı	8720	9464	8436	9423	33	50	37	56
3	EGE	8	BATI KARADENİZ	3	Afyonkarahisar	24	Çorum	8720	9464	8436	9423	77	58	70	72
3	EGE	3	EGE	3	Afyonkarahisar	25	Denizli	84344	80897	83908	93770	2447	2037	1761	2325
3	EGE	12	GÜNEYDOĞU ANADOLU	3	Afyonkarahisar	26	Diyarbakır	12600	16687	12536	14464	121	138	96	137
3	EGE	4	DOĞU MARMARA	3	Afyonkarahisar	27	Düzce	24517	21604	21851	25587	27	77	55	32
3	EGE	2	BATI MARMARA	3	Afyonkarahisar	28	Edirne	13906	12587	14138	17998	32	71	58	102
3	EGE	11	ORTADOĞU ANADOLU	3	Afyonkarahisar	29	Elazığ	9126	9321	8708	8693	54	68	50	76
3	EGE	10	KUZEYDOĞU ANADOLU	3	Afyonkarahisar	30	Erzincan	7179	8618	6965	7921	44	57	34	48
3	EGE	10	KUZEYDOĞU ANADOLU	3	Afyonkarahisar	31	Erzurum	7179	8618	6965	7921	115	154	99	136
3	EGE	4	DOĞU MARMARA	3	Afyonkarahisar	32	Eskişehir	24517	21604	21851	25587	2453	176	1776	2194
3	EGE	12	GÜNEYDOĞU ANADOLU	3	Afyonkarahisar	33	Gaziantep	12600	16687	12536	14464	144	192	144	220
3	EGE	9	DOĞUKARADENİZ	3	Afyonkarahisar	34	Giresun	4508	5137	5037	6075	54	52	46	48
3	EGE	9	DOĞUKARADENİZ	3	Afyonkarahisar	35	Gümüşhane	4508	5137	5037	6075	9	32	44	58
3	EGE	11	ORTADOĞU ANADOLU	3	Afyonkarahisar	36	Hakkari	9126	9321	8708	8693	80	35	40	44
3	EGE	6	AKDENİZ	3	Afyonkarahisar	37	Hatay	25427	30601	25803	30019	138	182	78	193
3	EGE	10	KUZEYDOĞU ANADOLU	3	Afyonkarahisar	38	Iğdır	7179	8618	6965	7921	29	52	28	28
3	EGE	6	AKDENİZ	3	Afyonkarahisar	39	Isparta	25427	30601	25803	30019	901	878	950	920
3	EGE	1	İSTANBUL	3	Afyonkarahisar	40	İstanbul	21478	33723	28431	30610	229	2351	1812	2231
3	EGE	3	EGE	3	Afyonkarahisar	41	İzmir	84344	80897	83908	93770	2597	2405	2116	2593
3	EGE	6	AKDENİZ	3	Afyonkarahisar	42	Kahramanmaraş	25427	30601	25803	30019	89	108	63	141
3	EGE	8	BATI KARADENİZ	3	Afyonkarahisar	43	Karabük	8720	9464	8436	9423	42	43	64	65
3	EGE	5	BATI ANADOLU	3	Afyonkarahisar	44	Karaman	19222	19712	21248	25552	58	60	66	97
3	EGE	10	KUZEYDOĞU ANADOLU	3	Afyonkarahisar	45	Kars	7179	8618	6965	7921	44	58	64	67
3	EGE	8	BATI KARADENİZ	3	Afyonkarahisar	46	Kastamonu	8720	9464	8436	9423	79	74	60	69
3	EGE	7	ORTA ANADOLU	3	Afyonkarahisar	47	Kayseri	8076	8600	7463	8081	118	165	95	148
3	EGE	12	GÜNEYDOĞU ANADOLU	3	Afyonkarahisar	48	Kilis	12600	16687	12536	14464	11	31	11	34
3	EGE	7	ORTA ANADOLU	3	Afyonkarahisar	49	Kırıkkale	8076	8600	7463	8081	49	76	68	99
3	EGE	2	BATI MARMARA	3	Afyonkarahisar	50	Kırklareli	13906	12587	14138	17998	64	61	53	56
3	EGE	7	ORTA ANADOLU	3	Afyonkarahisar	51	Kırşehir	8076	8600	7463	8081	44	70	50	72
